"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2142","has title","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","403","can fetch a sample post","chromium","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","761","get started navigates to installation","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","974","has title","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","122","health check returns success","webkit","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","1238","get started navigates to installation","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","325","can fetch a sample post","webkit","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","311","has title","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","324","get started navigates to installation","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","329","can fetch a sample post","firefox","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","46","health check returns success","firefox","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","42","health check returns success","chromium","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
