"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","329","can fetch a sample post","mobile","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","326","can fetch a sample post","webkit","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","811","Card has h3","mobile","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","286","has title","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","346","get started navigates to installation","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","54","health check returns success","chromium","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","1160","has title","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","242","Card has h3","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","1174","get started navigates to installation","mobile","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","1733","get started navigates to installation","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","809","Card has h3","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","3371","has title","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","731","get started navigates to installation","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","49","health check returns success","webkit","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","610","has title","mobile","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","575","Card has h3","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","46","health check returns success","firefox","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","48","health check returns success","mobile","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","431","can fetch a sample post","chromium","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","327","can fetch a sample post","firefox","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
