"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","654","has title","mobile","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","382","can fetch a sample post","chromium","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","845","Card has h3","mobile","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","356","can fetch a sample post","mobile","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","124","health check returns success","chromium","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","573","Card has h3","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","1104","has title","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","265","Card has h3","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","692","Card has h3","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","118","health check returns success","webkit","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","67","health check returns success","mobile","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","352","can fetch a sample post","webkit","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","67","health check returns success","firefox","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","6094","has title","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","307","has title","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","358","can fetch a sample post","firefox","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","1094","get started navigates to installation","mobile","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","1742","get started navigates to installation","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","434","get started navigates to installation","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","716","get started navigates to installation","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
