"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","health check returns success","chromium","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","289","has title","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","5737","has title","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","2643","get started navigates to installation","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","599","get started navigates to installation","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","47","health check returns success","firefox","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","49","health check returns success","webkit","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","857","get started navigates to installation","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","1350","has title","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
