"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","353","can fetch collections","restful-api","2026-06-12","failed","2026-06-12","Restful API tests","api/restful-api/restful-api.spec.ts","",""
"","420","get started navigates to installation","playwright-docs-desktop","2026-06-12","passed","2026-06-12","Playwright docs home","e2e/playwright-docs/home.spec.ts","",""
"","369","can fetch a sample post","json-placeholder-api","2026-06-12","passed","2026-06-12","JSONPlaceholder API","api/json-placeholder/json-placeholder.spec.ts","",""
"","295","has title","playwright-docs-desktop","2026-06-12","passed","2026-06-12","Playwright docs home","e2e/playwright-docs/home.spec.ts","",""
"","443","get started navigates to installation","playwright-docs-mobile","2026-06-12","passed","2026-06-12","Playwright docs home","e2e/playwright-docs/home.spec.ts","",""
"","234","Card has h3","playwright-docs-mobile","2026-06-12","passed","2026-06-12","Playwright docs home","e2e/playwright-docs/home.spec.ts","",""
"","256","Card has h3","playwright-docs-desktop","2026-06-12","passed","2026-06-12","Playwright docs home","e2e/playwright-docs/home.spec.ts","",""
"","292","has title","playwright-docs-mobile","2026-06-12","passed","2026-06-12","Playwright docs home","e2e/playwright-docs/home.spec.ts","",""
