"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2703","get started navigates to installation","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","383","get started navigates to installation","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","881","get started navigates to installation","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","55","health check returns success","firefox","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","13863","has title","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","1107","has title","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","276","has title","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","48","health check returns success","webkit","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","65","health check returns success","chromium","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
