"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4743","has title","webkit","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","281","has title","chromium","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","46","health check returns success","webkit","2026-06-08","passed","2026-06-08","API smoke","api/health.spec.ts","",""
"","1024","Card has h3","webkit","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","867","Card has h3","mobile","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","611","has title","mobile","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","47","health check returns success","mobile","2026-06-08","passed","2026-06-08","API smoke","api/health.spec.ts","",""
"","1702","get started navigates to installation","webkit","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","328","can fetch a sample post","webkit","2026-06-08","passed","2026-06-08","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","850","get started navigates to installation","firefox","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","269","Card has h3","chromium","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","695","Card has h3","firefox","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","327","can fetch a sample post","mobile","2026-06-08","passed","2026-06-08","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","1255","has title","firefox","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","1191","get started navigates to installation","mobile","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","342","can fetch a sample post","chromium","2026-06-08","passed","2026-06-08","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","564","get started navigates to installation","chromium","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","329","can fetch a sample post","firefox","2026-06-08","passed","2026-06-08","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","46","health check returns success","firefox","2026-06-08","passed","2026-06-08","API smoke","api/health.spec.ts","",""
"","52","health check returns success","chromium","2026-06-08","passed","2026-06-08","API smoke","api/health.spec.ts","",""
