"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","health check returns success","chromium","2026-06-03","passed","2026-06-03","API smoke","api/health.spec.ts","",""
"","423","can fetch a sample post","chromium","2026-06-03","passed","2026-06-03","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","378","can fetch a sample post","webkit","2026-06-03","passed","2026-06-03","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","97","health check returns success","firefox","2026-06-03","passed","2026-06-03","API smoke","api/health.spec.ts","",""
"","1493","has title","firefox","2026-06-03","passed","2026-06-03","Playwright docs home","ui/home.spec.ts","",""
"","421","has title","chromium","2026-06-03","passed","2026-06-03","Playwright docs home","ui/home.spec.ts","",""
"","933","get started navigates to installation","firefox","2026-06-03","passed","2026-06-03","Playwright docs home","ui/home.spec.ts","",""
"","1999","has title","webkit","2026-06-03","passed","2026-06-03","Playwright docs home","ui/home.spec.ts","",""
"","382","can fetch a sample post","firefox","2026-06-03","passed","2026-06-03","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","571","get started navigates to installation","chromium","2026-06-03","passed","2026-06-03","Playwright docs home","ui/home.spec.ts","",""
"","98","health check returns success","webkit","2026-06-03","passed","2026-06-03","API smoke","api/health.spec.ts","",""
"","2920","get started navigates to installation","webkit","2026-06-03","passed","2026-06-03","Playwright docs home","ui/home.spec.ts","",""
