"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","get started navigates to installation","chromium","2026-06-03","passed","2026-06-03","Playwright docs home","ui/home.spec.ts","",""
"","425","can fetch a sample post","chromium","2026-06-03","passed","2026-06-03","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","95","health check returns success","chromium","2026-06-03","passed","2026-06-03","API smoke","api/health.spec.ts","",""
"","416","has title","chromium","2026-06-03","passed","2026-06-03","Playwright docs home","ui/home.spec.ts","",""
