"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","330","can fetch a sample post","firefox","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","51","health check returns success","webkit","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","329","can fetch a sample post","webkit","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","1356","has title","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","376","get started navigates to installation","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","415","can fetch a sample post","chromium","2026-06-05","passed","2026-06-05","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","51","health check returns success","firefox","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
"","943","get started navigates to installation","firefox","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","2203","get started navigates to installation","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","305","has title","chromium","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","4497","has title","webkit","2026-06-05","passed","2026-06-05","Playwright docs home","ui/home.spec.ts","",""
"","55","health check returns success","chromium","2026-06-05","passed","2026-06-05","API smoke","api/health.spec.ts","",""
