"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1911","has title","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","63","health check returns success","firefox","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","2775","get started navigates to installation","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","61","health check returns success","chromium","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","302","has title","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","850","get started navigates to installation","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","2917","has title","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","416","get started navigates to installation","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","61","health check returns success","webkit","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
