"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","health check returns success","chromium","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","847","get started navigates to installation","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","343","get started navigates to installation","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","2728","get started navigates to installation","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","5826","has title","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","280","has title","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","48","health check returns success","firefox","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","1180","has title","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","50","health check returns success","webkit","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
