"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","384","can fetch a sample post","mobile","2026-06-15","passed","2026-06-15","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","1115","lists collections as user with worker-cached auth state","webkit","2026-06-15","passed","2026-06-15","restful-api.dev authenticated API","api/restful-api-collections.spec.ts","",""
"","98","health check returns success","chromium","2026-06-15","passed","2026-06-15","API smoke","api/health.spec.ts","",""
"","99","health check returns success","firefox","2026-06-15","passed","2026-06-15","API smoke","api/health.spec.ts","",""
"","1168","get started navigates to installation","mobile","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","1771","get started navigates to installation","webkit","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","381","can fetch a sample post","firefox","2026-06-15","passed","2026-06-15","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","378","can fetch a sample post","webkit","2026-06-15","passed","2026-06-15","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","334","lists collections as user with worker-cached auth state","chromium","2026-06-15","passed","2026-06-15","restful-api.dev authenticated API","api/restful-api-collections.spec.ts","",""
"","104","health check returns success","webkit","2026-06-15","passed","2026-06-15","API smoke","api/health.spec.ts","",""
"","756","has title","mobile","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","4767","has title","webkit","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","594","Card has h3","firefox","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","546","get started navigates to installation","chromium","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","982","Card has h3","webkit","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","104","health check returns success","mobile","2026-06-15","passed","2026-06-15","API smoke","api/health.spec.ts","",""
"","816","Card has h3","mobile","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","856","get started navigates to installation","firefox","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","1341","has title","firefox","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","671","lists collections as user with worker-cached auth state","firefox","2026-06-15","passed","2026-06-15","restful-api.dev authenticated API","api/restful-api-collections.spec.ts","",""
"","676","lists collections as user with worker-cached auth state","mobile","2026-06-15","passed","2026-06-15","restful-api.dev authenticated API","api/restful-api-collections.spec.ts","",""
"","374","Card has h3","chromium","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","425","can fetch a sample post","chromium","2026-06-15","passed","2026-06-15","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","436","has title","chromium","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
