"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","health check returns success","chromium","2026-06-15","passed","2026-06-15","API smoke","api/health.spec.ts","",""
"","294","has title","chromium","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","247","Card has h3","chromium","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
"","2","lists collections as user with worker-cached auth state","chromium","2026-06-15","failed","2026-06-15","restful-api.dev authenticated API","api/restful-api-collections.spec.ts","",""
"","433","can fetch a sample post","chromium","2026-06-15","passed","2026-06-15","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","372","get started navigates to installation","chromium","2026-06-15","passed","2026-06-15","Playwright docs home","ui/home.spec.ts","",""
