"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","health check returns success","webkit","2026-06-08","passed","2026-06-08","API smoke","api/health.spec.ts","",""
"","605","has title","mobile","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","247","Card has h3","chromium","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","325","can fetch a sample post","webkit","2026-06-08","passed","2026-06-08","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","44","health check returns success","mobile","2026-06-08","passed","2026-06-08","API smoke","api/health.spec.ts","",""
"","328","can fetch a sample post","mobile","2026-06-08","passed","2026-06-08","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","1178","get started navigates to installation","mobile","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","774","Card has h3","mobile","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","2224","get started navigates to installation","webkit","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","273","has title","chromium","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","46","health check returns success","chromium","2026-06-08","passed","2026-06-08","API smoke","api/health.spec.ts","",""
"","862","get started navigates to installation","firefox","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","5038","has title","webkit","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","362","get started navigates to installation","chromium","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","46","health check returns success","firefox","2026-06-08","passed","2026-06-08","API smoke","api/health.spec.ts","",""
"","1170","has title","firefox","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","653","Card has h3","webkit","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","624","Card has h3","firefox","2026-06-08","passed","2026-06-08","Playwright docs home","ui/home.spec.ts","",""
"","331","can fetch a sample post","chromium","2026-06-08","passed","2026-06-08","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","327","can fetch a sample post","firefox","2026-06-08","passed","2026-06-08","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
